question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_192,A,A,basic,6887,5626,12513,1
sample_193,A,A,basic,8360,71874,80234,1
sample_194,E,E,basic,6256,4478,10734,1
sample_195,C,C,basic,7156,5530,12686,1
sample_196,A,A,intermediate,63440,6723,70163,1
sample_197,B,B,basic,5790,4434,10224,1
sample_198,E,E,basic,7198,5710,12908,1
sample_199,E,D,basic,7179,5441,12620,0
sample_200,D,D,basic,8781,7081,15862,1
sample_201,E,E,advanced,29156,17874,47030,1
sample_202,A,A,intermediate,31774,6614,38388,1
sample_203,C,C,basic,8329,5823,14152,1
sample_204,D,D,intermediate,25323,5741,31064,1
sample_205,A,A,basic,7894,6029,13923,1
sample_206,A,A,basic,8007,6208,14215,1
sample_207,D,D,basic,7378,6046,13424,1
sample_208,D,D,basic,6596,4818,11414,1
sample_209,D,D,basic,6698,5115,11813,1
sample_210,B,E,intermediate,26886,5780,32666,0
sample_211,C,C,basic,5896,4867,10763,1
sample_212,A,A,basic,8667,7447,16114,1
sample_213,C,C,basic,7309,5940,13249,1
sample_214,D,D,basic,6285,4823,11108,1
sample_215,E,B,basic,7868,6133,14001,0
sample_216,C,D,advanced,22666,14206,36872,0
sample_217,D,D,basic,8720,7058,15778,1
sample_218,A,A,intermediate,26349,5699,32048,1
sample_219,D,D,basic,10704,9152,19856,1
sample_220,A,A,basic,7772,5848,13620,1
sample_221,D,D,basic,8829,6650,15479,1
sample_222,A,A,basic,8244,6610,14854,1
sample_223,A,B,basic,6354,4737,11091,0
sample_224,A,A,basic,8699,6401,15100,1
sample_225,B,C,basic,7849,6223,14072,0
sample_226,B,B,basic,7147,5731,12878,1
sample_227,B,B,basic,7196,5823,13019,1
sample_228,A,A,advanced,25590,18882,44472,1
sample_229,A,A,basic,7165,5187,12352,1
sample_230,B,A,basic,6678,4942,11620,0
sample_231,E,E,basic,6611,4665,11276,1
sample_232,B,B,intermediate,34830,8594,43424,1
sample_233,B,B,basic,6557,4947,11504,1
sample_234,E,E,basic,7323,6064,13387,1
sample_235,C,C,basic,7265,5256,12521,1
sample_236,B,B,basic,4994,3450,8444,1
sample_237,D,D,basic,11550,5330,16880,1
sample_238,E,E,intermediate,32968,6324,39292,1
sample_239,A,A,basic,6736,5113,11849,1
sample_240,A,A,basic,7922,5706,13628,1
sample_241,C,C,basic,7171,5505,12676,1
sample_242,D,D,basic,6731,4920,11651,1
sample_243,B,B,intermediate,26763,6064,32827,1
sample_244,A,A,basic,8261,7062,15323,1
sample_245,B,B,basic,6730,5343,12073,1
sample_246,A,A,basic,7410,5643,13053,1
sample_247,C,C,advanced,24544,15846,40390,1
sample_248,B,B,basic,5729,4645,10374,1
sample_249,B,B,basic,6319,4812,11131,1
sample_250,B,B,intermediate,28865,4935,33800,1
sample_251,A,A,basic,7140,5316,12456,1
sample_252,C,C,basic,5485,4034,9519,1
sample_253,C,C,advanced,36704,24793,61497,1
sample_254,C,C,basic,8127,6912,15039,1
sample_255,C,B,basic,7496,6097,13593,0
sample_256,E,A,intermediate,28459,5668,34127,0
sample_257,B,B,basic,7073,4789,11862,1
sample_258,E,,basic,6466,4953,11419,0
sample_259,E,E,basic,6936,5202,12138,1
sample_260,B,D,basic,7366,6147,13513,0
sample_261,A,A,basic,7934,5877,13811,1
sample_262,E,E,intermediate,30399,6640,37039,1
sample_263,C,C,basic,6584,5231,11815,1
sample_264,B,B,basic,6389,5060,11449,1
sample_265,D,D,basic,5797,4367,10164,1
sample_266,B,B,intermediate,19592,5008,24600,1
sample_267,A,A,advanced,27674,17675,45349,1
sample_268,D,D,advanced,25455,16306,41761,1
sample_269,B,D,intermediate,76793,6992,83785,0
sample_270,D,A,advanced,26458,17094,43552,0
sample_271,D,D,intermediate,31439,7421,38860,1
sample_272,E,A,intermediate,29423,6088,35511,0
sample_273,C,C,advanced,28903,18693,47596,1
sample_274,B,B,basic,6939,5060,11999,1
sample_275,E,E,basic,7286,5296,12582,1
sample_276,A,A,intermediate,88085,9021,97106,1
sample_277,A,A,intermediate,22630,5148,27778,1
sample_278,D,D,intermediate,32943,6871,39814,1
sample_279,B,B,basic,7340,5052,12392,1
sample_280,A,A,intermediate,35235,7153,42388,1
sample_281,B,B,intermediate,104283,8538,112821,1
sample_282,C,C,intermediate,36670,6270,42940,1
sample_283,A,C,intermediate,36733,7349,44082,0
sample_284,A,A,basic,7087,4612,11699,1
sample_285,A,D,intermediate,27856,5955,33811,0
sample_286,A,A,advanced,35984,23369,59353,1
sample_287,B,B,advanced,24301,15286,39587,1
sample_288,B,D,intermediate,82191,9198,91389,0
sample_289,B,B,intermediate,34600,7686,42286,1
sample_290,D,D,intermediate,31305,6043,37348,1
sample_291,C,C,intermediate,26322,6291,32613,1
sample_292,C,C,basic,7494,5395,12889,1
sample_293,C,C,intermediate,32012,6871,38883,1
sample_294,E,E,advanced,35094,22690,57784,1
sample_295,A,A,intermediate,26061,6889,32950,1
sample_296,C,C,basic,8698,6631,15329,1
sample_297,B,B,intermediate,20289,4487,24776,1
sample_298,C,A,intermediate,28668,7337,36005,0
sample_299,E,E,advanced,26187,17445,43632,1
sample_300,C,C,basic,9318,7062,16380,1
sample_301,D,D,intermediate,31328,6547,37875,1
sample_302,D,B,advanced,37080,24220,61300,0
sample_303,E,B,advanced,28109,19342,47451,0
sample_304,D,D,advanced,33203,21182,54385,1
sample_305,E,E,intermediate,27294,5560,32854,1
sample_306,B,E,basic,6885,5432,12317,0
sample_307,B,B,basic,12276,10614,22890,1
sample_308,D,D,advanced,21967,14334,36301,1
sample_309,D,D,advanced,27517,17534,45051,1
sample_310,C,C,advanced,25776,16839,42615,1
sample_311,B,D,basic,7553,6499,14052,0
sample_312,C,C,advanced,25745,15763,41508,1
sample_313,D,D,intermediate,201117,12968,214085,1
sample_314,A,A,advanced,20669,12716,33385,1
sample_315,D,A,advanced,32923,21276,54199,0
sample_316,A,A,advanced,30461,19347,49808,1
sample_317,B,B,advanced,29776,21769,51545,1
sample_318,B,B,intermediate,28432,7890,36322,1
sample_319,E,E,advanced,24508,14588,39096,1
sample_320,A,C,advanced,30470,19169,49639,0
sample_321,B,D,advanced,31770,18848,50618,0
sample_322,D,D,advanced,25689,15997,41686,1
sample_323,E,E,advanced,34904,23346,58250,1
sample_324,A,A,advanced,29823,19159,48982,1
sample_325,A,A,advanced,24369,16200,40569,1
sample_326,B,A,advanced,33318,21342,54660,0
sample_327,B,A,advanced,34771,22008,56779,0
sample_328,D,D,advanced,26859,18333,45192,1
sample_329,E,E,advanced,30146,19227,49373,1
sample_330,A,A,advanced,29103,18820,47923,1
sample_331,B,D,advanced,31155,19309,50464,0
sample_332,B,B,intermediate,29602,6830,36432,1
