question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_278,D,D,intermediate,53032,7970,61002,1
sample_279,B,D,intermediate,109091,10935,120026,0
sample_280,A,A,intermediate,60800,9630,70430,1
sample_281,B,B,intermediate,169718,13526,183244,1
sample_282,C,C,intermediate,81363,9721,91084,1
sample_283,A,C,intermediate,34743,9045,43788,0
sample_284,A,A,basic,1416,538,1954,1
sample_285,A,C,intermediate,79973,9634,89607,0
sample_286,A,,advanced,4241,3267,7508,0
sample_287,B,B,intermediate,122785,12198,134983,1
sample_288,B,C,intermediate,194908,11974,206882,0
sample_289,B,B,intermediate,200385,11922,212307,1
sample_290,D,D,intermediate,127063,13049,140112,1
sample_291,C,C,intermediate,53000,10390,63390,1
sample_292,C,C,intermediate,31805,7681,39486,1
sample_293,C,C,intermediate,68165,8781,76946,1
sample_294,E,,advanced,5119,4833,9952,0
sample_295,A,A,basic,1375,966,2341,1
sample_296,C,C,basic,1081,362,1443,1
sample_297,B,B,intermediate,54399,8741,63140,1
sample_298,C,A,intermediate,58592,10075,68667,0
sample_299,E,,advanced,4643,4214,8857,0
sample_300,C,C,intermediate,110052,11685,121737,1
sample_301,D,,intermediate,852558,20546,873104,0
sample_302,D,,advanced,3745,2881,6626,0
sample_303,E,C,basic,1125,608,1733,0
sample_304,D,D,advanced,4016,3847,7863,1
sample_305,E,,advanced,4278,3517,7795,0
sample_306,B,E,intermediate,2189087,30074,2219161,0
sample_307,B,B,advanced,2592,2923,5515,1
sample_308,D,D,advanced,3546,3474,7020,1
sample_309,D,D,advanced,4052,4366,8418,1
sample_310,C,C,advanced,4800,5026,9826,1
sample_311,B,,advanced,3188,3540,6728,0
sample_312,C,C,advanced,4598,4688,9286,1
sample_313,D,D,advanced,3054,3855,6909,1
sample_314,A,A,intermediate,68753,8647,77400,1
sample_315,D,D,advanced,3394,3258,6652,1
sample_316,A,A,advanced,3357,4299,7656,1
sample_317,B,B,advanced,4880,4767,9647,1
sample_318,B,B,intermediate,81314,9434,90748,1
sample_319,E,E,advanced,3775,4773,8548,1
sample_320,A,A,advanced,4459,5106,9565,1
sample_321,B,D,advanced,3670,3840,7510,0
sample_322,D,D,advanced,4045,4307,8352,1
sample_323,E,E,advanced,2997,2991,5988,1
sample_324,A,A,advanced,4870,4799,9669,1
sample_325,A,D,intermediate,90705,10479,101184,0
sample_326,B,B,advanced,4146,4179,8325,1
sample_327,B,,advanced,5442,5747,11189,0
sample_328,D,D,advanced,3112,3220,6332,1
sample_329,E,E,advanced,3868,6048,9916,1
sample_330,A,A,advanced,3945,4156,8101,1
sample_331,B,D,basic,983,443,1426,0
sample_332,B,B,intermediate,26530,7826,34356,1
