question_id,label,response,difficulty,input_tokens,output_tokens,total_tokens,correct
sample_151,A,A,basic,9951,8130,18081,1
sample_152,E,E,advanced,3274,2846,6120,1
sample_153,A,A,basic,7285,6105,13390,1
sample_154,A,A,basic,8910,7406,16316,1
sample_155,D,D,basic,7990,6610,14600,1
sample_156,E,E,basic,7608,6295,13903,1
sample_157,B,B,basic,9155,7627,16782,1
sample_158,A,A,basic,5620,4868,10488,1
sample_159,D,D,advanced,19285,11053,30338,1
sample_160,C,C,basic,8328,7441,15769,1
sample_161,D,D,basic,8543,7261,15804,1
sample_162,B,B,intermediate,35856,9363,45219,1
sample_163,D,D,advanced,15296,9980,25276,1
sample_164,A,A,advanced,14903,9798,24701,1
sample_165,A,A,basic,7364,5896,13260,1
sample_166,B,B,basic,8671,7705,16376,1
sample_167,B,B,basic,10908,9650,20558,1
sample_168,D,D,advanced,18093,10874,28967,1
sample_169,B,C,advanced,15741,10218,25959,0
sample_170,D,D,basic,6984,6173,13157,1
sample_171,C,C,basic,7359,6766,14125,1
sample_172,D,D,basic,6473,5227,11700,1
sample_173,C,C,basic,7726,6653,14379,1
sample_174,A,B,basic,6675,6155,12830,0
sample_175,E,E,basic,8370,7101,15471,1
sample_176,D,D,advanced,19425,13056,32481,1
sample_177,E,E,basic,5827,4374,10201,1
sample_178,D,D,intermediate,30689,7336,38025,1
sample_179,D,D,basic,10197,9093,19290,1
sample_180,D,D,basic,8170,7665,15835,1
sample_181,B,D,advanced,21212,12655,33867,0
sample_182,E,E,basic,6050,4963,11013,1
sample_183,B,B,basic,7801,6281,14082,1
sample_184,E,C,basic,6941,5797,12738,0
sample_185,B,B,basic,7425,5995,13420,1
sample_186,D,D,basic,6742,5229,11971,1
sample_187,C,,basic,8250,7954,16204,0
sample_188,B,B,intermediate,27515,7022,34537,1
sample_189,E,E,basic,8804,7224,16028,1
sample_190,C,C,basic,6585,5618,12203,1
sample_191,A,A,intermediate,27641,6404,34045,1
sample_192,D,D,advanced,17232,11807,29039,1
sample_193,E,E,basic,6237,4750,10987,1
sample_194,C,C,basic,6182,5323,11505,1
sample_195,C,C,basic,6477,5532,12009,1
sample_196,C,C,basic,7896,7185,15081,1
sample_197,A,A,basic,7457,6568,14025,1
sample_198,C,C,basic,7540,6097,13637,1
sample_199,E,C,basic,5718,6782,12500,0
sample_200,D,D,basic,6987,6146,13133,1
sample_201,B,B,basic,10411,9331,19742,1
sample_202,B,B,basic,6853,5942,12795,1
sample_203,D,C,basic,6186,5156,11342,0
sample_204,A,C,advanced,15423,11126,26549,0
sample_205,C,C,basic,7143,6270,13413,1
sample_206,B,B,basic,8466,6761,15227,1
sample_207,D,D,basic,7309,6280,13589,1
sample_208,A,,basic,6440,5166,11606,0
sample_209,B,B,basic,7293,7551,14844,1
sample_210,A,A,basic,6502,5349,11851,1
sample_211,C,C,basic,7516,6294,13810,1
sample_212,B,D,advanced,19198,11765,30963,0
sample_213,E,A,basic,10383,8543,18926,0
sample_214,A,A,basic,7023,5702,12725,1
sample_215,B,B,basic,7181,6526,13707,1
sample_216,D,D,basic,8420,7495,15915,1
sample_217,E,E,basic,9943,8638,18581,1
sample_218,D,D,basic,8263,6935,15198,1
sample_219,E,E,basic,6256,5266,11522,1
sample_220,A,A,advanced,15152,9363,24515,1
sample_221,D,D,basic,12364,10636,23000,1
sample_222,A,A,basic,6866,5707,12573,1
sample_223,D,C,basic,9254,8254,17508,0
sample_224,A,A,basic,8871,8046,16917,1
sample_225,C,C,basic,6307,5340,11647,1
sample_226,C,C,basic,7141,6403,13544,1
sample_227,D,D,basic,7153,5419,12572,1
sample_228,D,D,basic,8306,7175,15481,1
sample_229,A,B,basic,9904,7283,17187,0
sample_230,E,E,basic,7986,5902,13888,1
sample_231,C,C,basic,6910,6086,12996,1
sample_232,A,A,basic,7559,6273,13832,1
sample_233,D,D,advanced,13911,8998,22909,1
sample_234,B,B,basic,9999,9602,19601,1
sample_235,D,D,basic,7797,7380,15177,1
sample_236,B,B,basic,5362,4187,9549,1
sample_237,A,A,basic,7497,6937,14434,1
sample_238,B,E,basic,6168,4701,10869,0
sample_239,B,,basic,7936,12294,20230,0
sample_240,A,D,basic,7310,5927,13237,0
sample_241,E,E,basic,7030,5271,12301,1
sample_242,B,A,basic,7601,5704,13305,0
sample_243,A,A,basic,7849,6172,14021,1
sample_244,A,C,basic,13887,13036,26923,0
sample_245,E,E,basic,6583,6002,12585,1
sample_246,D,A,basic,7069,5185,12254,0
sample_247,A,B,basic,9159,7651,16810,0
sample_248,D,D,basic,9212,8243,17455,1
sample_249,C,D,intermediate,66623,9202,75825,0
sample_250,B,B,basic,6877,5456,12333,1
sample_251,A,D,advanced,13274,8610,21884,0
sample_252,B,B,basic,5786,4994,10780,1
sample_253,A,A,basic,6978,5612,12590,1
sample_254,D,D,basic,9634,8690,18324,1
sample_255,A,A,basic,11401,10331,21732,1
sample_256,C,C,basic,7371,6614,13985,1
sample_257,D,D,basic,7436,6291,13727,1
sample_258,D,D,basic,7227,6411,13638,1
sample_259,E,E,basic,8780,7631,16411,1
sample_260,D,D,basic,7338,5906,13244,1
sample_261,C,C,basic,9159,7468,16627,1
sample_262,C,C,basic,6928,5611,12539,1
sample_263,E,B,advanced,19467,12876,32343,0
sample_264,C,C,basic,8074,7310,15384,1
sample_265,A,A,advanced,21350,12014,33364,1
sample_266,E,A,advanced,18065,12399,30464,0
sample_267,B,D,basic,7260,5549,12809,0
sample_268,E,E,basic,5590,4636,10226,1
sample_269,E,E,basic,5966,4357,10323,1
sample_270,D,D,advanced,14003,9105,23108,1
sample_271,C,C,advanced,12037,7819,19856,1
sample_272,B,D,basic,7243,5323,12566,0
sample_273,C,C,basic,6713,5981,12694,1
sample_274,A,D,intermediate,269320,76920,346240,0
sample_275,A,A,basic,7556,6232,13788,1
sample_276,A,A,basic,7134,5817,12951,1
sample_277,C,C,basic,9201,7127,16328,1
sample_278,D,D,basic,5730,4885,10615,1
sample_279,A,D,advanced,16326,9957,26283,0
sample_280,B,B,basic,7504,6093,13597,1
sample_281,B,B,basic,7825,6197,14022,1
sample_282,D,D,basic,5877,5365,11242,1
sample_283,A,A,basic,6448,5266,11714,1
sample_284,A,A,basic,10703,9137,19840,1
sample_285,B,D,basic,7811,6289,14100,0
sample_286,D,A,basic,7427,6546,13973,0
sample_287,D,D,basic,6157,5619,11776,1
sample_288,A,A,basic,9618,7469,17087,1
sample_289,B,B,basic,9413,8776,18189,1
sample_290,D,D,advanced,20477,14553,35030,1
sample_291,B,A,basic,6780,5300,12080,0
sample_292,A,A,basic,8046,7685,15731,1
sample_293,D,D,basic,7578,6414,13992,1
sample_294,A,A,advanced,16500,10129,26629,1
sample_295,A,A,basic,6874,5971,12845,1
sample_296,B,B,basic,6095,5057,11152,1
sample_297,A,A,basic,5748,4550,10298,1
sample_298,D,D,basic,10740,9218,19958,1
sample_299,E,E,basic,6198,4961,11159,1
sample_300,B,B,basic,6415,5561,11976,1
sample_301,D,D,basic,5728,4729,10457,1
sample_302,D,D,basic,6079,5172,11251,1
sample_303,A,A,basic,6791,5351,12142,1
sample_304,D,A,advanced,17861,10197,28058,0
sample_305,A,A,advanced,16113,10106,26219,1
sample_306,B,B,advanced,17533,11167,28700,1
sample_307,C,C,basic,8601,7021,15622,1
sample_308,C,B,advanced,16052,10401,26453,0
sample_309,C,C,basic,6604,6179,12783,1
sample_310,D,D,basic,9522,7556,17078,1
sample_311,B,A,basic,6850,5753,12603,0
sample_312,D,D,basic,7403,6436,13839,1
sample_313,B,E,advanced,16197,11045,27242,0
sample_314,B,B,basic,8428,6818,15246,1
sample_315,A,B,basic,8446,7306,15752,0
sample_316,B,B,advanced,18333,11084,29417,1
sample_317,A,A,basic,6214,5091,11305,1
sample_318,B,,basic,6052,5365,11417,0
sample_319,C,C,basic,9183,8401,17584,1
sample_320,B,A,basic,9097,7910,17007,0
sample_321,D,B,advanced,17699,11649,29348,0
sample_322,A,D,basic,7571,6266,13837,0
sample_323,D,D,advanced,19734,12749,32483,1
sample_324,C,C,advanced,13743,8642,22385,1
sample_325,A,A,basic,7398,5261,12659,1
sample_326,C,C,basic,7286,6709,13995,1
sample_327,B,B,basic,6420,5360,11780,1
sample_328,A,A,basic,6265,5726,11991,1
sample_329,B,B,basic,6776,5342,12118,1
sample_330,B,A,basic,7507,5532,13039,0
sample_331,C,D,advanced,16838,11970,28808,0
